kepid,koi_count,fits_product_count,fits_bytes,fits_set_sha256,raw_purged,raw_retention_reason,processing_rebuild_verified_at_run,constructed_qc_fail,constructed_qc_pass,hard_preprocessing_failure,invalid_source_product,no_archive_product,other_technical_failure,retrieval_failure
2010152,1,17,7439040,f7c908c9253dd5e444abdae00b74ff4a37e47276aca428fd8a46bf907ad35058,True,,False,0,1,0,0,0,0,0
2010191,1,17,7439040,3aa225c1c33a8bea1d788d200b96821a4305903b2f16e107104400869567855a,True,,False,0,1,0,0,0,0,0
2010607,1,17,7439040,e1e769f6c5c51d082ba6a75ef89b21afead3ec490b600dfd7c3ea0ab10190eb8,True,,False,0,1,0,0,0,0,0
2012722,1,17,7439040,1813eeaeeb3ff8fa2588d082df852e0c27d248d432a12ad34d14ce9c6756d546,True,,False,0,1,0,0,0,0,0
2013883,1,17,7439040,749204c6dc6ad631472f1cdae07bf44c9c8d148a7409f7794005c3e72deb3c34,True,,True,0,1,0,0,0,0,0
2014991,1,17,7439040,2065d6ad6ff979bdb64086d0e76f71bbba30783b8dcd70090e33e488d6bc4146,True,,False,0,1,0,0,0,0,0
2019076,1,15,6776640,e8d865cf9ef0a654f0b2205c16d0b628d8ca2b5faede7fcd19c420a1c9690e15,True,,False,0,1,0,0,0,0,0
2019477,1,17,7439040,7b0bd0e5de8af6717ef0fe886b3e502fded73c247c9a6699ebfa61081169e98c,True,,False,0,1,0,0,0,0,0
2021440,1,17,7439040,2b3d9923939b3847ed3d2f45383609fe2c470cb28d083ff0e431143a4a249f1c,True,,False,0,1,0,0,0,0,0
2140389,1,14,6312960,1812e22ee679b34139def3a183ffd31e5a93b996eed229b67f575410647032bf,True,,False,0,1,0,0,0,0,0
2141783,1,17,7439040,3e47592a957e439397a0140ff757b42c8b2e36becbbea695572919e466f2ad86,True,,False,0,1,0,0,0,0,0
2142522,1,17,7439040,8d61c67e9db43859d7e625e3c0362df366dcf77e4609e27fc10c51de126b0e5e,True,,False,0,1,0,0,0,0,0
2161536,1,17,7439040,91700c1161ef68ad7d49a67e4f933e6c88e37814229e6a82421121df5cb9ed8a,True,,False,0,1,0,0,0,0,0
2161623,1,2,1013760,51c7d225d512b7a48da1a7911280027339d204ffb182296a5daf79029a519bd5,True,,False,1,0,0,0,0,0,0
2162994,1,17,7439040,344f6c68f8c77125fa4ab569c533ad8c56ce23f1fda1dd9ea6bfee607ad3b112,True,,True,0,1,0,0,0,0,0
2164169,1,17,7439040,424b8a54c74a6a69c7bbbb55a693ceea7f3a22c347fa075549e14f2e13461253,True,,False,0,1,0,0,0,0,0
2165002,2,17,7439040,590c6ffaa675767678673db3c10a760eca78caa15f34325c6682a8947ab719e8,True,,False,0,2,0,0,0,0,0
2165352,1,17,7439040,0d6bf717b9a1b03f1d60da563e1095a135b808179a272642b4fa2dab09e4ad53,True,,False,0,1,0,0,0,0,0
2166200,1,8,3551040,f7eed5cd12bbb2d4c3186691f73056c259c60831652a9e68fdb1356e44d228d6,True,,False,0,1,0,0,0,0,0
2166206,1,17,7439040,0e87cd2a8aba3a4e19ca1da113af874d6fe9fa9fb901eaa2147645f768f0a471,True,,False,0,1,0,0,0,0,0
2167444,1,6,2836800,2c0d379e5820351affdd32500e7dcf137eb76a610dc6f77cd0bab8584d9d45d2,True,,False,1,0,0,0,0,0,0
2167890,1,4,1710720,8e0964f64c02c784794986f2d4e60fc7119df7753bb7af8afeac03ab370951d7,True,,False,1,0,0,0,0,0,0
2302548,2,17,7439040,886f35c2571a0c7d19d8346cb269fccbab5049458833a76cd97eac3b913bf6b9,True,,False,0,2,0,0,0,0,0
2302758,1,17,7439040,dab03a34b8975f728aef59e4d56915ef3b8a05e886fc242d06f61828f00fb56b,True,,False,0,1,0,0,0,0,0
2304320,1,17,7439040,24e09bad8f78b595ffffe648805f239fb4edc975a8ed9a8e6442c51ca28ccca2,True,,True,0,1,0,0,0,0,0
2305255,1,17,7439040,abf3acf4822cd8f2de890db6fc6b5947dff01729b9415ede3dd5744701b1d86a,True,,False,0,1,0,0,0,0,0
2305372,1,17,7439040,8e46239788e97d7c9c01d6dcb53cf565717a88da00cc2af47d18b889a6854d5e,True,,False,0,1,0,0,0,0,0
2305543,1,8,3876480,325c8ffcb6e6b8a8ab251dee574a683261dff169dab3fdf25d1ad9a1bc8be02e,True,,False,0,1,0,0,0,0,0
2306740,1,17,7439040,8559efbdef32e51e398d65f6eb55f576f863bec8bd7bcb7507fd18767d269067,True,,False,0,1,0,0,0,0,0
2307206,1,16,7246080,2eaea7a44452541dfc270fe809c7642ccdc7c606edb29d2e9701a37c28d340f8,True,,False,0,1,0,0,0,0,0
2307415,2,17,7439040,59f0c17addfb7286925f35cb74b93631ab351461ebce1585b1555bcdb47bc706,True,,False,0,2,0,0,0,0,0
2308411,1,17,7439040,59a373b156da04cc63b7b2451bd3f566d3e5e3cbb5020aba069b4bc47bb4acf6,True,,False,0,1,0,0,0,0,0
2308957,1,17,7439040,1142ccb118679db9048918f1a4b68b889684239358c57398759d3c81742d7702,True,,False,0,1,0,0,0,0,0
2309585,1,14,6312960,1ea428352f4122b336e2753b84f1db53c179ef118f87a0e0f21cd838c31f5f48,True,,False,0,1,0,0,0,0,0
2309587,1,17,7439040,f9d9ec2dc92167f1ea90643a57b159604f1a027afc2ff5bdbad5ba6473546837,True,,True,0,1,0,0,0,0,0
2309719,1,17,7439040,5279cd164bbfbdcd73c1d5cea020f97046315c8a2bda7131926bd8d446e42742,True,,False,0,1,0,0,0,0,0
2309910,1,14,6312960,224c0f3c2c36f31a431bea1ded8e297a59a5325c28132d14ad1d519c96d6004d,True,,False,1,0,0,0,0,0,0
2436378,1,10,4357440,592a6f641c00c5455782d8fa74a799129c9cb61413ccce4e1bc745e713dd8985,True,,False,0,1,0,0,0,0,0
2437060,1,6,2761920,2d28324b66266e07f27545bb135c058100ef5ad1148a6b5e138a7a3763cc07b6,True,,False,1,0,0,0,0,0,0
2437112,2,17,7439040,c25d804cb8ead1e496f998f641c1d642a0e086ee4e51846fc04dc10d0ddf3793,True,,False,0,2,0,0,0,0,0
