kepid,quarter,obsid,product_filename,data_uri,product_size,description
4150539,8,445251,kplr004150539-2011073133259_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2011073133259_llc.fits,357120,Lightcurve Long Cadence (CLC) - Q8
4150539,9,445251,kplr004150539-2011177032512_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2011177032512_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q9
4150539,10,445251,kplr004150539-2011271113734_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2011271113734_llc.fits,486720,Lightcurve Long Cadence (CLC) - Q10
4150539,11,445251,kplr004150539-2012004120508_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2012004120508_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q11
4150539,12,445251,kplr004150539-2012088054726_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2012088054726_llc.fits,434880,Lightcurve Long Cadence (CLC) - Q12
4150539,13,445251,kplr004150539-2012179063303_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2012179063303_llc.fits,472320,Lightcurve Long Cadence (CLC) - Q13
4150539,14,445251,kplr004150539-2012277125453_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2012277125453_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q14
4150539,15,445251,kplr004150539-2013011073258_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2013011073258_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q15
4150539,16,445251,kplr004150539-2013098041711_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2013098041711_llc.fits,449280,Lightcurve Long Cadence (CLC) - Q16
4150539,17,445251,kplr004150539-2013131215648_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150539/kplr004150539-2013131215648_llc.fits,187200,Lightcurve Long Cadence (CLC) - Q17
4150611,1,395254,kplr004150611-2009166043257_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2009166043257_llc.fits,195840,Lightcurve Long Cadence (CLC) - Q1
4150611,2,395254,kplr004150611-2009259160929_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2009259160929_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q2
4150611,3,395254,kplr004150611-2009350155506_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2009350155506_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q3
4150611,4,395254,kplr004150611-2010078095331_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2010078095331_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q4
4150611,5,395254,kplr004150611-2010174085026_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2010174085026_llc.fits,492480,Lightcurve Long Cadence (CLC) - Q5
4150611,6,395254,kplr004150611-2010265121752_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2010265121752_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q6
4150611,7,395254,kplr004150611-2010355172524_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2010355172524_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q7
4150611,8,395254,kplr004150611-2011073133259_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2011073133259_llc.fits,360000,Lightcurve Long Cadence (CLC) - Q8
4150611,9,395254,kplr004150611-2011177032512_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2011177032512_llc.fits,509760,Lightcurve Long Cadence (CLC) - Q9
4150611,10,395254,kplr004150611-2011271113734_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2011271113734_llc.fits,486720,Lightcurve Long Cadence (CLC) - Q10
4150611,11,395254,kplr004150611-2012004120508_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2012004120508_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q11
4150611,12,395254,kplr004150611-2012088054726_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2012088054726_llc.fits,434880,Lightcurve Long Cadence (CLC) - Q12
4150611,13,395254,kplr004150611-2012179063303_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2012179063303_llc.fits,472320,Lightcurve Long Cadence (CLC) - Q13
4150611,14,395254,kplr004150611-2012277125453_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2012277125453_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q14
4150611,15,395254,kplr004150611-2013011073258_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2013011073258_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q15
4150611,16,395254,kplr004150611-2013098041711_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2013098041711_llc.fits,449280,Lightcurve Long Cadence (CLC) - Q16
4150611,17,395254,kplr004150611-2013131215648_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150611/kplr004150611-2013131215648_llc.fits,187200,Lightcurve Long Cadence (CLC) - Q17
4150624,1,411537,kplr004150624-2009166043257_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2009166043257_llc.fits,192960,Lightcurve Long Cadence (CLC) - Q1
4150624,2,411537,kplr004150624-2009259160929_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2009259160929_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q2
4150624,3,411537,kplr004150624-2009350155506_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2009350155506_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q3
4150624,4,411537,kplr004150624-2010078095331_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2010078095331_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q4
4150624,5,411537,kplr004150624-2010174085026_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2010174085026_llc.fits,492480,Lightcurve Long Cadence (CLC) - Q5
4150624,6,411537,kplr004150624-2010265121752_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2010265121752_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q6
4150624,7,411537,kplr004150624-2010355172524_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2010355172524_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q7
4150624,8,411537,kplr004150624-2011073133259_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2011073133259_llc.fits,357120,Lightcurve Long Cadence (CLC) - Q8
4150624,9,411537,kplr004150624-2011177032512_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2011177032512_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q9
4150624,10,411537,kplr004150624-2011271113734_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2011271113734_llc.fits,486720,Lightcurve Long Cadence (CLC) - Q10
4150624,11,411537,kplr004150624-2012004120508_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2012004120508_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q11
4150624,12,411537,kplr004150624-2012088054726_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2012088054726_llc.fits,434880,Lightcurve Long Cadence (CLC) - Q12
4150624,13,411537,kplr004150624-2012179063303_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2012179063303_llc.fits,472320,Lightcurve Long Cadence (CLC) - Q13
4150624,14,411537,kplr004150624-2012277125453_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2012277125453_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q14
4150624,15,411537,kplr004150624-2013011073258_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2013011073258_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q15
4150624,16,411537,kplr004150624-2013098041711_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2013098041711_llc.fits,449280,Lightcurve Long Cadence (CLC) - Q16
4150624,17,411537,kplr004150624-2013131215648_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150624/kplr004150624-2013131215648_llc.fits,187200,Lightcurve Long Cadence (CLC) - Q17
4150701,4,500602,kplr004150701-2010078095331_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2010078095331_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q4
4150701,5,500602,kplr004150701-2010174085026_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2010174085026_llc.fits,492480,Lightcurve Long Cadence (CLC) - Q5
4150701,6,500602,kplr004150701-2010265121752_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2010265121752_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q6
4150701,7,500602,kplr004150701-2010355172524_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2010355172524_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q7
4150701,8,500602,kplr004150701-2011073133259_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2011073133259_llc.fits,357120,Lightcurve Long Cadence (CLC) - Q8
4150701,9,500602,kplr004150701-2011177032512_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2011177032512_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q9
4150701,10,500602,kplr004150701-2011271113734_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2011271113734_llc.fits,486720,Lightcurve Long Cadence (CLC) - Q10
4150701,11,500602,kplr004150701-2012004120508_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2012004120508_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q11
4150701,12,500602,kplr004150701-2012088054726_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2012088054726_llc.fits,434880,Lightcurve Long Cadence (CLC) - Q12
4150701,13,500602,kplr004150701-2012179063303_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2012179063303_llc.fits,472320,Lightcurve Long Cadence (CLC) - Q13
4150701,14,500602,kplr004150701-2012277125453_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2012277125453_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q14
4150701,15,500602,kplr004150701-2013011073258_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2013011073258_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q15
4150701,16,500602,kplr004150701-2013098041711_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2013098041711_llc.fits,449280,Lightcurve Long Cadence (CLC) - Q16
4150701,17,500602,kplr004150701-2013131215648_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150701/kplr004150701-2013131215648_llc.fits,187200,Lightcurve Long Cadence (CLC) - Q17
4150703,1,415655,kplr004150703-2009166043257_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2009166043257_llc.fits,192960,Lightcurve Long Cadence (CLC) - Q1
4150703,2,415655,kplr004150703-2009259160929_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2009259160929_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q2
4150703,3,415655,kplr004150703-2009350155506_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2009350155506_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q3
4150703,4,415655,kplr004150703-2010078095331_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2010078095331_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q4
4150703,5,415655,kplr004150703-2010174085026_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2010174085026_llc.fits,492480,Lightcurve Long Cadence (CLC) - Q5
4150703,6,415655,kplr004150703-2010265121752_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2010265121752_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q6
4150703,7,415655,kplr004150703-2010355172524_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2010355172524_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q7
4150703,8,415655,kplr004150703-2011073133259_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2011073133259_llc.fits,357120,Lightcurve Long Cadence (CLC) - Q8
4150703,9,415655,kplr004150703-2011177032512_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2011177032512_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q9
4150703,10,415655,kplr004150703-2011271113734_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2011271113734_llc.fits,486720,Lightcurve Long Cadence (CLC) - Q10
4150703,11,415655,kplr004150703-2012004120508_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2012004120508_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q11
4150703,12,415655,kplr004150703-2012088054726_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2012088054726_llc.fits,434880,Lightcurve Long Cadence (CLC) - Q12
4150703,13,415655,kplr004150703-2012179063303_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2012179063303_llc.fits,472320,Lightcurve Long Cadence (CLC) - Q13
4150703,14,415655,kplr004150703-2012277125453_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2012277125453_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q14
4150703,15,415655,kplr004150703-2013011073258_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2013011073258_llc.fits,506880,Lightcurve Long Cadence (CLC) - Q15
4150703,16,415655,kplr004150703-2013098041711_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2013098041711_llc.fits,449280,Lightcurve Long Cadence (CLC) - Q16
4150703,17,415655,kplr004150703-2013131215648_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150703/kplr004150703-2013131215648_llc.fits,187200,Lightcurve Long Cadence (CLC) - Q17
4150804,1,408673,kplr004150804-2009166043257_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2009166043257_llc.fits,192960,Lightcurve Long Cadence (CLC) - Q1
4150804,2,408673,kplr004150804-2009259160929_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2009259160929_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q2
4150804,3,408673,kplr004150804-2009350155506_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2009350155506_llc.fits,466560,Lightcurve Long Cadence (CLC) - Q3
4150804,4,408673,kplr004150804-2010078095331_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2010078095331_llc.fits,469440,Lightcurve Long Cadence (CLC) - Q4
4150804,5,408673,kplr004150804-2010174085026_llc.fits,mast:KEPLER/url/missions/kepler/lightcurves/0041/004150804/kplr004150804-2010174085026_llc.fits,492480,Lightcurve Long Cadence (CLC) - Q5
