strategy,repeat_id,seed,partition,rows,target_fraction,row_fraction,row_fraction_deviation,negative_count,positive_count,positive_prevalence,prevalence_deviation,hosts,single_koi_hosts,multi_koi_hosts,multi_koi_rows,mixed_label_hosts,koi_period_count,koi_period_missing,koi_period_minimum,koi_period_p10,koi_period_median,koi_period_p90,koi_period_maximum,koi_period_standardized_median_difference,koi_period_ks_statistic,koi_duration_count,koi_duration_missing,koi_duration_minimum,koi_duration_p10,koi_duration_median,koi_duration_p90,koi_duration_maximum,koi_duration_standardized_median_difference,koi_duration_ks_statistic,koi_model_snr_count,koi_model_snr_missing,koi_model_snr_minimum,koi_model_snr_p10,koi_model_snr_median,koi_model_snr_p90,koi_model_snr_maximum,koi_model_snr_standardized_median_difference,koi_model_snr_ks_statistic
host_group_stratified,0,1729,train,4648,0.7,0.70031640801567,0.000316408015669789,2775,1873,0.402969018932874,7.61456467511246e-05,4057,3663,394,985,29,4648,0,0.299697755,0.9337490562,6.883031081,70.3899859649,809.0141881,-0.00193901560468385,0.00935939889478921,4648,0,0.1046,1.7157,3.7855,9.77529,138.54,-0.00163608002573432,0.0110055906269993,4610,38,0,11.6,35.3,987.510000000001,9054.7,0.000437665740459637,0.00700826746975087
host_group_stratified,0,1729,validation,995,0.15,0.149917131233991,-8.28687660087424e-05,594,401,0.403015075376884,0.000122202090761192,873,788,85,207,4,995,0,0.306937807,0.933706998,7.97033985,99.942089844,568.08251,0.0111931723019481,0.0361504675706391,995,0,0.4053,1.74246,3.848,10.89924,88.1118,0.00765982921139238,0.0298518356434879,986,9,3.1,11.5,34.65,1106.8,6979.7,-0.000273541087787266,0.0188626797652705
host_group_stratified,0,1729,test,994,0.15,0.149766460750339,-0.000233539249660991,594,400,0.402414486921529,-0.000478386364594019,874,791,83,203,3,994,0,0.373684977,0.8983960231,7.1487780165,85.34755915,1064.2680956,0.00127059586180621,0.0152013482128268,994,0,0.3969,1.59104,3.79045,10.4515,50.68,-0.000899844014153881,0.0352650784926525,986,8,2.3,10.6,33.85,965,8326.3,-0.00114887256870656,0.0321643698500366
host_group_stratified,1,2718,train,4648,0.7,0.70031640801567,0.000316408015669789,2775,1873,0.402969018932874,7.61456467511246e-05,4064,3673,391,975,27,4648,0,0.306937807,0.9337471974,7.136322125,76.6494979,1064.2680956,0.00112015735492922,0.00628679724602363,4648,0,0.1046,1.70854,3.8026,10.2872,138.54,0.000907280741543565,0.00440173055812652,4606,42,0,11.4,35.35,980.25,9054.7,0.000492373958017089,0.00447251962714138
host_group_stratified,1,2718,validation,996,0.15,0.150067801717644,6.78017176435064e-05,595,401,0.402610441767068,-0.000282431519054938,872,786,86,210,5,996,0,0.373684977,0.927984,6.99002987,85.2145492,809.0141881,-0.000646716450118613,0.0182565428203699,996,0,0.4931,1.6845,3.82512,9.7475,77.983,0.00425678275786507,0.0165103687312154,989,7,2.5,11.58,31.2,1021.48,8755.2,-0.00404840809925166,0.0417101025286047
host_group_stratified,1,2718,test,993,0.15,0.149615790266687,-0.00038420973331324,593,400,0.40281973816717,-7.31351189530161e-05,868,783,85,210,4,993,0,0.299697755,0.933738972,6.50327035,65.2539254536001,527.68601,-0.00652565136192008,0.0340436392095884,993,0,0.3969,1.641694,3.721,9.46456000000001,117.52,-0.011229458358449,0.0273942609567257,987,6,1.8,12,36.9,1057.92,7056.8,0.00218832870229819,0.0287313008952296
host_group_stratified,2,3141,train,4649,0.7,0.700467078499322,0.000467078499322038,2775,1874,0.403097440309744,0.000204567023620816,4065,3671,394,978,26,4649,0,0.299697755,0.92949689,6.99510404,73.79002723,809.0141881,-0.000585432152769046,0.0074390512938524,4649,0,0.1046,1.69132,3.754,9.89912,138.54,-0.00632121828124615,0.011338075429423,4609,40,1.4,11.5,35.4,988.299999999999,9054.7,0.000547082175574548,0.00550605183113456
host_group_stratified,2,3141,validation,994,0.15,0.149766460750339,-0.000233539249660991,594,400,0.402414486921529,-0.000478386364594019,872,787,85,207,4,994,0,0.339069751,0.9056768369,6.864395581,92.58992996,1064.2680956,-0.00216408956224893,0.0268392030653107,994,0,0.3969,1.64225,3.87615,10.3921,63.196,0.0118467067317943,0.0374986092538355,984,10,1.7,11.43,32.65,1052.04,7056.8,-0.00246186979008546,0.0262171035566326
host_group_stratified,2,3141,test,994,0.15,0.149766460750339,-0.000233539249660991,594,400,0.402414486921529,-0.000478386364594019,867,784,83,210,6,994,0,0.328686504,1.0702605886,7.378139828,76.805886639,655.25732,0.00404075875674328,0.0370141596907041,994,0,0.2961,1.78571,3.90965,10.55966,90.95,0.0168293140828942,0.0263433850049218,989,5,0,11.5,34.7,1034,7878,-0.000218832870229815,0.0167838321198943
host_group_stratified,3,4099,train,4648,0.7,0.70031640801567,0.000316408015669789,2775,1873,0.402969018932874,7.61456467511246e-05,4060,3667,393,981,27,4648,0,0.306937807,0.9184838897,7.0471019095,77.933660965,1064.2680956,4.25824576957823e-05,0.00709924439141443,4648,0,0.1046,1.675326,3.765275,10.2158,138.54,-0.00464423625486851,0.00679809792129192,4607,41,0,11.56,35.3,959.060000000001,8755.2,0.000437665740459637,0.00746162831889459
